pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
35,Ontario,Ontario,31-01-2020,3,0,0,3,,,,,3,300.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,,,,1,100.00,0.02,0.00,0,0.00,,,100.00,1,0.02,,,,,,,,,,,,
1,Canada,Canada,31-01-2020,4,0,0,4,,,,,4,400.00,0.01,0.00,0,0.00,,,100.00,4,0.01,,,,,,,,,,,,
35,Ontario,Ontario,08-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,,,,3,300.00,0.08,0.00,0,0.00,,,100.00,4,0.08,,,,,,,,,,,,
1,Canada,Canada,08-02-2020,7,0,0,7,,,,,3,75.00,0.02,0.00,0,0.00,,,100.00,7,0.02,,,,,,,,,,,,
35,Ontario,Ontario,16-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,,,,1,25.00,0.10,0.00,0,0.00,,,100.00,5,0.10,,,,,,,,,,,,
1,Canada,Canada,16-02-2020,8,0,0,8,,,,,1,14.29,0.02,0.00,0,0.00,,,100.00,8,0.02,,,,,,,,,,,,
35,Ontario,Ontario,21-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,,,,1,20.00,0.12,0.00,0,0.00,,,100.00,6,0.12,,,,,,,,,,,,
1,Canada,Canada,21-02-2020,9,0,0,9,,,,,1,12.50,0.02,0.00,0,0.00,,,100.00,9,0.02,,,,,,,,,,,,
35,Ontario,Ontario,24-02-2020,4,0,0,4,,,,,1,33.33,0.03,0.00,0,0.00,,,100.00,4,0.03,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,,,,0,0.00,0.12,0.00,0,0.00,,,100.00,6,0.12,,,,,,,,,,,,
1,Canada,Canada,24-02-2020,10,0,0,10,,,,,1,11.11,0.03,0.00,0,0.00,,,100.00,10,0.03,,,,,,,,,,,,
35,Ontario,Ontario,25-02-2020,4,0,0,4,,,,,0,0.00,0.03,0.00,0,0.00,,,100.00,4,0.03,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,,,,1,16.67,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,,,,,,,,,
1,Canada,Canada,25-02-2020,11,0,0,11,,,,,1,10.00,0.03,0.00,0,0.00,,,100.00,11,0.03,,,,,,,,,,,,
35,Ontario,Ontario,26-02-2020,5,0,0,5,,,,,1,25.00,0.03,0.00,0,0.00,,,100.00,5,0.03,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,,,,,,,,,
1,Canada,Canada,26-02-2020,12,0,0,12,,,,,1,9.09,0.03,0.00,0,0.00,,,100.00,12,0.03,,,,,,,,,,,,
35,Ontario,Ontario,27-02-2020,6,0,0,6,,,,,1,20.00,0.04,0.00,0,0.00,,,100.00,6,0.04,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,,,,,,,,,
1,Canada,Canada,27-02-2020,13,0,0,13,,,,,1,8.33,0.03,0.00,0,0.00,,,100.00,13,0.03,,,,,,,,,,,,
35,Ontario,Ontario,29-02-2020,8,0,0,8,,,,,2,33.33,0.05,0.00,0,0.00,,,100.00,8,0.05,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,,,,,,,,,
1,Canada,Canada,29-02-2020,15,0,0,15,,,,,2,15.38,0.04,0.00,0,0.00,,,100.00,15,0.04,,,,,,,,,,,,
35,Ontario,Ontario,01-03-2020,15,0,0,15,,,,,7,87.50,0.10,0.00,0,0.00,,,100.00,15,0.10,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,,,,1,14.29,0.16,0.00,0,0.00,,,100.00,8,0.16,,,,,,,,,,,,
24,Quebec,Québec,01-03-2020,1,0,0,1,,,,,1,100.00,0.01,0.00,0,0.00,,,100.00,1,0.01,,,,,,,,,,,,
1,Canada,Canada,01-03-2020,24,0,0,24,,,,,9,60.00,0.06,0.00,0,0.00,,,100.00,24,0.06,,,,,,,,,,,,
35,Ontario,Ontario,03-03-2020,20,0,0,20,,,,,5,33.33,0.14,0.00,0,0.00,,,100.00,20,0.14,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0,12,,,,,4,50.00,0.24,0.00,0,0.00,,,100.00,12,0.24,,,,,,,,,,,,
24,Quebec,Québec,03-03-2020,1,0,0,1,,,,,0,0.00,0.01,0.00,0,0.00,,,100.00,1,0.01,,,,,,,,,,,,
1,Canada,Canada,03-03-2020,33,0,0,33,,,,,9,37.50,0.09,0.00,0,0.00,,,100.00,33,0.09,,,,,,,,,,,,
35,Ontario,Ontario,05-03-2020,22,0,0,22,,,,,2,10.00,0.15,0.00,0,0.00,,,100.00,22,0.15,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0,21,,,,,9,75.00,0.41,0.00,0,0.00,,,100.00,21,0.41,,,,,,,,,,,,
24,Quebec,Québec,05-03-2020,2,0,0,2,,,,,1,100.00,0.02,0.00,0,0.00,,,100.00,2,0.02,,,,,,,,,,,,
1,Canada,Canada,05-03-2020,45,0,0,45,,,,,12,36.36,0.12,0.00,0,0.00,,,100.00,45,0.12,,,,,,,,,,,,
35,Ontario,Ontario,06-03-2020,28,0,0,28,,,,,6,27.27,0.19,0.00,0,0.00,,,100.00,28,0.19,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,,,,0,0.00,0.41,0.00,0,0.00,,,100.00,21,0.41,,,,,,,,,,,,
24,Quebec,Québec,06-03-2020,2,0,0,2,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,2,0.02,,,,,,,,,,,,
1,Canada,Canada,06-03-2020,51,0,0,51,,,,,6,13.33,0.14,0.00,0,0.00,,,100.00,51,0.14,,,,,,,,,,,,
35,Ontario,Ontario,07-03-2020,28,0,0,28,,,,,0,0.00,0.19,0.00,0,0.00,,,100.00,28,0.19,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,,,,6,28.57,0.53,0.00,0,0.00,,,100.00,27,0.53,,,,,,,,,,,,
24,Quebec,Québec,07-03-2020,2,0,0,2,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,2,0.02,,,,,,,,,,,,
1,Canada,Canada,07-03-2020,57,0,0,57,,,,,6,11.76,0.15,0.00,0,0.00,,,100.00,57,0.15,,,,,,,,,,,,
35,Ontario,Ontario,08-03-2020,31,0,0,31,,,,,3,10.71,0.21,0.00,0,0.00,,,100.00,31,0.21,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1,27,,,,,0,0.00,0.53,0.02,1,3.70,,,96.30,26,0.51,,,,,,,,,,,,
24,Quebec,Québec,08-03-2020,3,0,0,3,,,,,1,50.00,0.04,0.00,0,0.00,,,100.00,3,0.04,,,,,,,,,,,,
48,Alberta,Alberta,08-03-2020,1,0,0,1,,,,,1,100.00,0.02,0.00,0,0.00,,,100.00,1,0.02,,,,,,,,,,,,
1,Canada,Canada,08-03-2020,62,0,1,62,,,,,5,8.77,0.16,0.00,1,1.61,,,98.39,61,0.16,,,,,,,,,,,,
35,Ontario,Ontario,09-03-2020,34,0,0,34,,,,,3,9.68,0.23,0.00,0,0.00,,,100.00,34,0.23,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1,32,,,,,5,18.52,0.63,0.02,0,3.13,,,96.88,31,0.61,,,,,,,,,,,,
24,Quebec,Québec,09-03-2020,4,0,0,4,,,,,1,33.33,0.05,0.00,0,0.00,,,100.00,4,0.05,,,,,,,,,,,,
48,Alberta,Alberta,09-03-2020,7,0,0,7,,,,,6,600.00,0.16,0.00,0,0.00,,,100.00,7,0.16,,,,,,,,,,,,
1,Canada,Canada,09-03-2020,77,0,1,77,,,,,15,24.19,0.20,0.00,0,1.30,,,98.70,76,0.20,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,1,39,4373,,,862,0,0.00,0.77,0.02,0,2.56,4373,,97.44,38,0.75,,,,,,,,,,,,
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,,,450,0,0.00,0.32,0.00,0,0.00,1969,,100.00,14,0.32,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,,,174,0,0.00,0.00,0.00,0,,204,,,,0.00,,,,,,,,,,,,
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,,,257,0,0.00,0.00,0.00,0,,352,,,,0.00,,,,,,,,,,,,
35,Ontario,Ontario,11-03-2020,42,0,1,42,3394,,,233,8,23.53,0.29,0.01,1,2.38,3394,,97.62,41,0.28,,,,,,,,,,,,
24,Quebec,Québec,11-03-2020,7,0,0,7,556,,,66,3,75.00,0.08,0.00,0,0.00,556,,100.00,7,0.08,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,,,28,0,0.00,0.00,0.00,0,,22,,,,0.00,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,,,84,0,0.00,0.00,0.00,0,,44,,,,0.00,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,,,106,0,0.00,0.00,0.00,0,,103,,,,0.00,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,,,38,0,0.00,0.00,0.00,0,,6,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,11-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,,,,,,,,,
60,Yukon,Yukon,11-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,29,,,,1,100.00,,,0,0.00,29,,100.00,1,,,,,,,,,,,,,
1,Canada,Canada,11-03-2020,103,0,2,103,11023,,,293,26,33.77,0.27,0.01,0,1.94,11023,,98.06,101,0.27,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,1,46,5195,,,1024,7,17.95,0.91,0.02,0,2.17,822,,97.83,45,0.89,,,,,,,,,,,,
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,,,940,5,35.71,0.43,0.00,0,0.00,2140,,100.00,19,0.43,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,,,243,1,0.00,0.09,0.00,0,0.00,81,,100.00,1,0.09,,,,,,,,,,,,
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,,,257,1,0.00,0.07,0.00,0,0.00,0,,100.00,1,0.07,,,,,,,,,,,,
35,Ontario,Ontario,12-03-2020,59,0,1,59,4185,,,287,17,40.48,0.41,0.01,0,1.69,791,,98.31,58,0.40,,,,,,,,,,,,
24,Quebec,Québec,12-03-2020,13,0,0,13,740,,,87,6,85.71,0.15,0.00,0,0.00,184,,100.00,13,0.15,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,,,100,0,0.00,0.00,0.00,0,,30,,,,0.00,,,,,,,,,,,,
